,Tarih,Deger,Yil,Ay,Gun,HaftaninGunu,Dunku_Deger
1674,2025-07-08,108.676,2025,7,8,1,107.887
1675,2025-07-09,110.661,2025,7,9,2,108.676
1676,2025-07-10,113.55,2025,7,10,3,110.661
1677,2025-07-11,117.659,2025,7,11,4,113.55
1678,2025-07-12,117.085,2025,7,12,5,117.659
1679,2025-07-13,119.116,2025,7,13,6,117.085
1680,2025-07-14,120.327,2025,7,14,0,119.116
1681,2025-07-15,116.546,2025,7,15,1,120.327
1682,2025-07-16,119.857,2025,7,16,2,116.546
1683,2025-07-17,119.182,2025,7,17,3,119.857
1684,2025-07-18,117.475,2025,7,18,4,119.182
1685,2025-07-19,117.833,2025,7,19,5,117.475
1686,2025-07-20,118.088,2025,7,20,6,117.833
1687,2025-07-21,116.94,2025,7,21,0,118.088
1688,2025-07-22,119.77,2025,7,22,1,116.94
1689,2025-07-23,117.931,2025,7,23,2,119.77
1690,2025-07-24,118.762,2025,7,24,3,117.931
1691,2025-07-25,117.026,2025,7,25,4,118.762
1692,2025-07-26,117.989,2025,7,26,5,117.026
1693,2025-07-27,118.737,2025,7,27,6,117.989
1694,2025-07-28,118.027,2025,7,28,0,118.737
1695,2025-07-29,117.382,2025,7,29,1,118.027
1696,2025-07-30,117.063,2025,7,30,2,117.382
1697,2025-07-31,116.514,2025,7,31,3,117.063
1698,2025-08-01,113.857,2025,8,1,4,116.514
1699,2025-08-02,112.66,2025,8,2,5,113.857
1700,2025-08-03,114.432,2025,8,3,6,112.66
1701,2025-08-04,114.886,2025,8,4,0,114.432
1702,2025-08-05,113.633,2025,8,5,1,114.886
1703,2025-08-06,115.085,2025,8,6,2,113.633
1704,2025-08-07,117.181,2025,8,7,3,115.085
1705,2025-08-08,116.87,2025,8,8,4,117.181
1706,2025-08-09,116.773,2025,8,9,5,116.87
1707,2025-08-10,118.386,2025,8,10,6,116.773
1708,2025-08-11,118.88,2025,8,11,0,118.386
1709,2025-08-12,120.159,2025,8,12,1,118.88
1710,2025-08-13,122.973,2025,8,13,2,120.159
1711,2025-08-14,117.828,2025,8,14,3,122.973
1712,2025-08-15,117.292,2025,8,15,4,117.828
1713,2025-08-16,117.64,2025,8,16,5,117.292
1714,2025-08-17,117.61,2025,8,17,6,117.64
1715,2025-08-18,116.366,2025,8,18,0,117.61
1716,2025-08-19,113.549,2025,8,19,1,116.366
1717,2025-08-20,114.375,2025,8,20,2,113.549
1718,2025-08-21,112.592,2025,8,21,3,114.375
1719,2025-08-22,116.993,2025,8,22,4,112.592
1720,2025-08-23,115.314,2025,8,23,5,116.993
1721,2025-08-24,112.699,2025,8,24,6,115.314
1722,2025-08-25,109.684,2025,8,25,0,112.699
1723,2025-08-26,111.336,2025,8,26,1,109.684
1724,2025-08-27,112.393,2025,8,27,2,111.336
1725,2025-08-28,111.92,2025,8,28,3,112.393
1726,2025-08-29,107.782,2025,8,29,4,111.92
1727,2025-08-30,108.629,2025,8,30,5,107.782
1728,2025-08-31,109.106,2025,8,31,6,108.629
1729,2025-09-01,108.753,2025,9,1,0,109.106
1730,2025-09-02,111.393,2025,9,2,1,108.753
1731,2025-09-03,112.186,2025,9,3,2,111.393
1732,2025-09-04,110.353,2025,9,4,3,112.186
1733,2025-09-05,111.578,2025,9,5,4,110.353
1734,2025-09-06,110.152,2025,9,6,5,111.578
1735,2025-09-07,111.278,2025,9,7,6,110.152
1736,2025-09-08,112.008,2025,9,8,0,111.278
1737,2025-09-09,111.499,2025,9,9,1,112.008
1738,2025-09-10,113.617,2025,9,10,2,111.499
1739,2025-09-11,114.42,2025,9,11,3,113.617
1740,2025-09-12,116.14,2025,9,12,4,114.42
1741,2025-09-13,115.919,2025,9,13,5,116.14
1742,2025-09-14,115.802,2025,9,14,6,115.919
1743,2025-09-15,115.299,2025,9,15,0,115.802
1744,2025-09-16,116.866,2025,9,16,1,115.299
1745,2025-09-17,115.582,2025,9,17,2,116.866
1746,2025-09-18,117.55,2025,9,18,3,115.582
1747,2025-09-19,115.286,2025,9,19,4,117.55
1748,2025-09-20,115.775,2025,9,20,5,115.286
1749,2025-09-21,115.361,2025,9,21,6,115.775
1750,2025-09-22,112.86,2025,9,22,0,115.361
1751,2025-09-23,111.977,2025,9,23,1,112.86
1752,2025-09-24,113.589,2025,9,24,2,111.977
1753,2025-09-25,109.095,2025,9,25,3,113.589
1754,2025-09-26,109.31,2025,9,26,4,109.095
1755,2025-09-27,109.39,2025,9,27,5,109.31
1756,2025-09-28,110.839,2025,9,28,6,109.39
1757,2025-09-29,114.25,2025,9,29,0,110.839
1758,2025-09-30,114.615,2025,9,30,1,114.25
1759,2025-10-01,117.473,2025,10,1,2,114.615
1760,2025-10-02,120.609,2025,10,2,3,117.473
1761,2025-10-03,122.49,2025,10,3,4,120.609
1762,2025-10-04,121.917,2025,10,4,5,122.49
1763,2025-10-05,122.81,2025,10,5,6,121.917
1764,2025-10-06,125.233,2025,10,6,0,122.81
1765,2025-10-07,121.999,2025,10,7,1,125.233
1766,2025-10-08,123.12,2025,10,8,2,121.999
1767,2025-10-09,121.095,2025,10,9,3,123.12
1768,2025-10-10,114.251,2025,10,10,4,121.095
1769,2025-10-11,110.314,2025,10,11,5,114.251
1770,2025-10-12,114.99,2025,10,12,6,110.314
1771,2025-10-13,115.527,2025,10,13,0,114.99
1772,2025-10-14,112.932,2025,10,14,1,115.527
1773,2025-10-15,111.118,2025,10,15,2,112.932
1774,2025-10-16,107.652,2025,10,16,3,111.118
1775,2025-10-17,107.034,2025,10,17,4,107.652
1776,2025-10-18,107.06,2025,10,18,5,107.034
1777,2025-10-19,108.869,2025,10,19,6,107.06
1778,2025-10-20,110.994,2025,10,20,0,108.869
1779,2025-10-21,110.905,2025,10,21,1,110.994
1780,2025-10-22,107.642,2025,10,22,2,110.905
1781,2025-10-23,109.535,2025,10,23,3,107.642
1782,2025-10-24,110.823,2025,10,24,4,109.535
1783,2025-10-25,111.505,2025,10,25,5,110.823
1784,2025-10-26,113.423,2025,10,26,6,111.505
1785,2025-10-27,114.421,2025,10,27,0,113.423
1786,2025-10-28,112.837,2025,10,28,1,114.421
1787,2025-10-29,111.458,2025,10,29,2,112.837
1788,2025-10-30,107.547,2025,10,30,3,111.458
1789,2025-10-31,109.438,2025,10,31,4,107.547
1790,2025-11-01,110.403,2025,11,1,5,109.438
1791,2025-11-02,110.079,2025,11,2,6,110.403
1792,2025-11-03,106.376,2025,11,3,0,110.079
1793,2025-11-04,100.72,2025,11,4,1,106.376
1794,2025-11-05,103.891,2025,11,5,2,100.72
1795,2025-11-06,100.881,2025,11,6,3,103.891
1796,2025-11-07,103.765,2025,11,7,4,100.881
1797,2025-11-08,102.058,2025,11,8,5,103.765
1798,2025-11-09,104.607,2025,11,9,6,102.058
1799,2025-11-10,105.936,2025,11,10,0,104.607
1800,2025-11-11,102.808,2025,11,11,1,105.936
1801,2025-11-12,101.528,2025,11,12,2,102.808
1802,2025-11-13,98.176,2025,11,13,3,101.528
1803,2025-11-14,94.225,2025,11,14,4,98.176
1804,2025-11-15,95.208,2025,11,15,5,94.225
1805,2025-11-16,94.252,2025,11,16,6,95.208
1806,2025-11-17,91.939,2025,11,17,0,94.252
1807,2025-11-18,92.822,2025,11,18,1,91.939
1808,2025-11-19,89.57,2025,11,19,2,92.822
1809,2025-11-20,86.405,2025,11,20,3,89.57
1810,2025-11-21,84.582,2025,11,21,4,86.405
1811,2025-11-22,84.448,2025,11,22,5,84.582
1812,2025-11-23,87.499,2025,11,23,6,84.448
1813,2025-11-24,89.142,2025,11,24,0,87.499
1814,2025-11-25,87.394,2025,11,25,1,89.142
1815,2025-11-26,89.928,2025,11,26,2,87.394
1816,2025-11-27,91.436,2025,11,27,3,89.928
1817,2025-11-28,91.15,2025,11,28,4,91.436
1818,2025-11-29,91.0,2025,11,29,5,91.15
1819,2025-11-30,91.339,2025,11,30,6,91.0
1820,2025-12-01,85.51,2025,12,1,0,91.339
1821,2025-12-02,90.99,2025,12,2,1,85.51
1822,2025-12-03,92.925,2025,12,3,2,90.99
1823,2025-12-04,92.516,2025,12,4,3,92.925
1824,2025-12-05,89.309,2025,12,5,4,92.516
1825,2025-12-06,89.549,2025,12,6,5,89.309
1826,2025-12-07,91.45,2025,12,7,6,89.549
1827,2025-12-08,90.9,2025,12,8,0,91.45
